"File","Line","Column","Severity","Rule","Message"
"app\api\ai\generate-exam-questions\route.ts","1461","10","WARNING","@typescript-eslint/no-unused-vars","'explanationForTopic' is defined but never used."
"app\teacher\classes\[classId]\page.tsx","634","10","WARNING","@typescript-eslint/no-unused-vars","'StudentsTab' is defined but never used."
"components\Simulators\BubbleSortSimulator.tsx","162","9","WARNING","@typescript-eslint/no-unused-vars","'shouldSwap' is assigned a value but never used."
"components\Simulators\MergeSortSimulator.tsx","172","10","WARNING","@typescript-eslint/no-unused-vars","'mergeQueue' is assigned a value but never used."
"components\teacher\EditableQuizPreview.tsx","19","3","WARNING","@typescript-eslint/no-unused-vars","'onChange' is defined but never used."
"hooks\useStudents.ts","44","19","WARNING","@typescript-eslint/no-unused-vars","'role' is defined but never used."
"services\teacherDashboardService.ts","675","25","WARNING","@typescript-eslint/no-unused-vars","'_hasResults' is defined but never used."
"app\assignments\exam\[assignmentId]\page.tsx","630","6","WARNING","react-hooks/exhaustive-deps","React Hook useEffect has missing dependencies: 'beginFullscreenCountdown', 'logIncident', 'resolveFullscreenExit', and 'terminateForIntegrity'. Either include them or remove the dependency array."
"app\revision-plan\page.tsx","25","6","WARNING","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'load'. Either include it or remove the dependency array."
"app\teacher\classes\page.tsx","213","6","WARNING","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'loadClasses'. Either include it or remove the dependency array."
"app\teacher\interventions\[interventionId]\page.tsx","36","6","WARNING","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'load'. Either include it or remove the dependency array."
"app\teacher\interventions\page.tsx","133","6","WARNING","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'load'. Either include it or remove the dependency array."
"components\exam-trainer\ExamQuestionTrainer.tsx","123","6","WARNING","react-hooks/exhaustive-deps","React Hook useEffect has missing dependencies: 'attempt' and 'submitExam'. Either include them or remove the dependency array."
"components\quiz\QuizPlayer.tsx","389","6","WARNING","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'finishQuiz'. Either include it or remove the dependency array."
"components\quiz\QuizPlayer.tsx","522","6","WARNING","react-hooks/exhaustive-deps","React Hook useEffect has missing dependencies: 'appendIntegrityIncident', 'beginFullscreenCountdown', and 'resolveFullscreenExit'. Either include them or remove the dependency array."
"components\teacher\interventions\InterventionEffectivenessOverview.tsx","113","6","WARNING","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'load'. Either include it or remove the dependency array."
"components\teacher\interventions\InterventionImpactCard.tsx","101","6","WARNING","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'load'. Either include it or remove the dependency array."
"hooks\useAdaptiveLearning.ts","40","6","WARNING","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'refresh'. Either include it or remove the dependency array."
"hooks\useKnowledgeMap.ts","45","6","WARNING","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'refresh'. Either include it or remove the dependency array."
"hooks\useStudentAdaptiveAnalytics.ts","70","6","WARNING","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'user'. Either include it or remove the dependency array."
