"File","Line","Column","Severity","Rule","Message"
"app\api\ai\generate-exam-questions\route.ts","1461","10","WARNING","@typescript-eslint/no-unused-vars","'explanationForTopic' is defined but never used."
"app\resources\[resourceId]\page.tsx","15","3","WARNING","@typescript-eslint/no-unused-vars","'Loader2' is defined but never used."
"app\teacher\analytics\page.tsx","14","3","WARNING","@typescript-eslint/no-unused-vars","'BookOpenCheck' is defined but never used."
"app\teacher\classes\[classId]\page.tsx","634","10","WARNING","@typescript-eslint/no-unused-vars","'StudentsTab' is defined but never used."
"app\teacher\quiz-assignments\page.tsx","9","3","WARNING","@typescript-eslint/no-unused-vars","'Clock3' is defined but never used."
"app\teacher\resources\[resourceId]\page.tsx","11","3","WARNING","@typescript-eslint/no-unused-vars","'Loader2' is defined but never used."
"app\teacher\students\[studentId]\page.tsx","17","3","WARNING","@typescript-eslint/no-unused-vars","'School' is defined but never used."
"components\exam-trainer\ExamQuestionTrainer.tsx","24","3","WARNING","@typescript-eslint/no-unused-vars","'ExamTrainerAnswer' is defined but never used."
"components\exam-trainer\ExamQuestionTrainer.tsx","27","3","WARNING","@typescript-eslint/no-unused-vars","'ExamTrainerQuestion' is defined but never used."
"components\Simulators\BubbleSortSimulator.tsx","162","9","WARNING","@typescript-eslint/no-unused-vars","'shouldSwap' is assigned a value but never used."
"components\Simulators\CaesarCipherSimulator.tsx","2","23","WARNING","@typescript-eslint/no-unused-vars","'useMemo' is defined but never used."
"components\Simulators\LogicGateSimulator.tsx","3","21","WARNING","@typescript-eslint/no-unused-vars","'useCallback' is defined but never used."
"components\Simulators\MergeSortSimulator.tsx","172","10","WARNING","@typescript-eslint/no-unused-vars","'mergeQueue' is assigned a value but never used."
"components\teacher\EditableQuizPreview.tsx","19","3","WARNING","@typescript-eslint/no-unused-vars","'onChange' is defined but never used."
"hooks\useStudents.ts","44","19","WARNING","@typescript-eslint/no-unused-vars","'role' is defined but never used."
"services\examSubmissionService.ts","21","3","WARNING","@typescript-eslint/no-unused-vars","'ExamIntegrityPolicy' is defined but never used."
"services\quizService.ts","5","3","WARNING","@typescript-eslint/no-unused-vars","'setDoc' is defined but never used."
"services\teacherDashboardService.ts","675","25","WARNING","@typescript-eslint/no-unused-vars","'_hasResults' is defined but never used."
